Region,2050,2075,2100
Central America,143734.0,136563.0,116090.0
Central and Southern Asia,2455670.0,2572584.0,2438844.0
Eastern Africa,627144.0,855777.0,1000825.0
Eastern Asia,1467075.0,1154501.0,869391.0
Eastern Europe,133354.0,120324.0,112204.0
Middle Africa,337499.0,515092.0,650394.0
Northern Africa,348089.0,420121.0,458585.0
Northern America,420886.0,439494.0,447825.0
Northern Europe,71660.0,71624.0,70511.0
South America,381450.0,363846.0,320918.0
South-Eastern Asia,709278.0,708883.0,665921.0
Southern Africa,73381.0,76585.0,74631.0
Southern Europe,96768.0,79309.0,67957.0
Western Africa,590592.0,816752.0,960592.0
Western Asia,272918.0,309009.0,318741.0
Western Europe,144927.0,136515.0,129894.0
